"Convenio","Libro","Titulo","Tituloconveniocorto","Objeto","Consejeria","Organismojunta","Descripcioncompetencia","Modofinanciacion","Cantidadjunta","Importetotal","Actividadescomprometidasjunta","Finicial","Ffinal","Prorrogable","Condicionesvigencia","Ffirma","Lugarfirma","FpublicacionDOE","FpublicacionBOE"
"20190090","Entidades privadas españolas o extranjeras","","ADENDA CREEX PREVENCIÓN RIESGOS LABORALES","Modificar el Plan de Actuación Anexo al Convenio entre la Consejería de Educación y Empleo de la Junta de Extremadura y la Confederación Regional Empresarial Extremeña (CREEX) por el que se concede una subvención para la promoción y fomento de la prevención de riesgos laborales en el año 2019, de conformidad con el VII Plan de Actuación de la Comunidad Autónoma de Extremadura para la Prevención de Riesgos Laborales (2016-2019), firmado el 7 de abril de 2019 (DOE núm. 89, de 10 de mayo), en los términos y con las variaciones introducidas en el Plan que se incluye como Anexo a la presente Adenda.","Educación y Empleo","","","",".0000",".0000","","2019-04-09","2019-12-31","1","","2019-09-24","Mérida","2019-10-16",""
"20190096","Corporaciones Locales","","ADENDA LAPA Y ZAFRA (ZAFRA) SERVICIOS SOCIALES","Se prorroga para el periodo comprendido desde el 1 de enero hasta el 31 de diciembre de 2020, la vigencia del convenio de colaboración suscrito el día 2 de enero de 2019 entre la Consejería de Sanidad y Políticas Sociales de la Junta de Extremadura y los Ayuntamiento de LA LAPA y la ZAFRA, en la prestación de información, valoración y orientación de los servicios sociales de atención social básica.","Sanidad y Políticas Sociales","SEPAD","","La financiación de la presente prórroga para el año 2020 asciende a la cantidad de Ciento Sesenta y Siete Mil Ochocientos Veinticinco Euros con Veinte Céntimos (167.825,20 ?), para lo cual la Consejería de Sanidad y Servicios Sociales aportará la cantidad de Ciento Sesenta y Seis Mil Ciento Cuarenta y Seis Euros con Noventa y Cinco Céntimos (166.146,95 ?), correspondiente al 99% de la financiación de la misma, y los Ayuntamientos la cantidad de Mil Seiscientos Setenta y Ocho Euros con Veinticinco Céntimos (1.678,25 ?), correspondiente a la diferencia hasta alcanzar el 100% de la financiación de la misma, conforme al presupuesto que se detalla en el anexo I de la presente prórroga y en la parte proporcional que le corresponda a cada uno de ellos conforme al anexo II de la presente prórroga La aportación económica de la Consejería de Sanidad y Servicios Sociales para la financiación de la prórroga, se realizará con cargo a los Presupuestos Generales de la Comunidad Autónoma de Extremadura para el año 2020 aplicación presupuestaria 11.03.252B.460.00, superproyecto de gasto 2016.11.03.9001 ?Servicios Sociales? y código de proyecto de gasto 2016.11.003.0001.00 ?Servicios Sociales de Atención Social Básica?. La aportación económica de los Ayuntamientos para la financiación de la prórroga, se financiará con cargo a sus Presupuestos municipales para el año 2020.","166146.9500","1678.2500","","2020-01-01","2020-12-31","1","Se prorroga para el periodo comprendido desde el 1 de enero hasta el 31 de diciembre de 2020, la vigencia del convenio de colaboración suscrito el día 2 de enero de 2019 entre la Consejería de Sanidad y Políticas Sociales de la Junta de Extremadura y los Ayuntamiento de LA LAPA y la ZAFRA, en la prestación de información, valoración y orientación de los servicios sociales de atención social básica.","2019-12-30","Mérida","2020-03-05",""
"20190097","Corporaciones Locales","","ADENDA PUEBLA CALZADA Y TORREMAYOR SERVICIOS SOCIA","Se prorroga para el periodo comprendido desde el 1 de enero hasta el 31 de diciembre de 2020, la vigencia del convenio de colaboración suscrito el día 2 de enero de 2019 entre la Consejería de Sanidad y Políticas Sociales de la Junta de Extremadura y los Ayuntamiento de PUEBLA DE LA CALZADA y la TORREMAYOR, en la prestación de información, valoración y orientación de los servicios sociales de atención social básica para el período comprendido entre el 1 de enero hasta el 31 de diciembre de 2020.","Sanidad y Políticas Sociales","SEPAD","","La financiación de la presente prórroga para el año 2020 asciende a la cantidad de Cien Mil Seiscientos Noventa y Cinco Euros con Doce Céntimos (100.695,12 ?), para lo cual la Consejería de Sanidad y Servicios Sociales aportará la cantidad de Noventa y Nueve Mil Seiscientos Ochenta y Ocho Euros con Diecisiete Céntimos (99.688,17 ?), correspondiente al 99% de la financiación de la misma, y los Ayuntamientos la cantidad de Mil Seis Euros con Noventa y Cinco Céntimos (1.006,95 ?), correspondiente a la diferencia hasta alcanzar el 100% de la financiación de la misma, conforme al presupuesto que se detalla en el anexo I de la presente prórroga y en la parte proporcional que le corresponda a cada uno de ellos conforme al anexo II de la presente prórroga La aportación económica de la Consejería de Sanidad y Servicios Sociales para la financiación de la prórroga, se realizará con cargo a los Presupuestos Generales de la Comunidad Autónoma de Extremadura para el año 2020 aplicación presupuestaria 11.03.252B.460.00, superproyecto de gasto 2016.11.03.9001 ?Servicios Sociales? y código de proyecto de gasto 2016.11.003.0001.00 ?Servicios Sociales de Atención Social Básica?. La aportación económica de los Ayuntamientos para la financiación de la prórroga, se financiará con cargo a sus Presupuestos municipales para el año 2020.","99688.1700","1006.9500","","2020-01-01","2020-12-31","1","Se prorroga para el periodo comprendido desde el 1 de enero hasta el 31 de diciembre de 2020, la vigencia del convenio de colaboración suscrito el día 2 de enero de 2019 entre la Consejería de Sanidad y Políticas Sociales de la Junta de Extremadura y los Ayuntamiento de PUEBLA DE LA CALZADA y la TORREMAYOR, en la prestación de información, valoración y orientación de los servicios sociales de atención social básica para el período comprendido entre el 1 de enero hasta el 31 de diciembre de 2020.","2019-12-20","Mérida","2020-03-04",""
"20190098","Corporaciones Locales","","ADENDA CORIA Y CILLEROS SERVICIOS SOCIALES","Se prorroga para el periodo comprendido desde el 1 de enero hasta el 31 de diciembre de 2020, la vigencia del convenio de colaboración suscrito el día 4 de febrero de 2019 entre la Consejería de Sanidad y Políticas Sociales de la Junta de Extremadura y los Ayuntamiento de CORIA y la CILLEROS, en la prestación de información, valoración y orientación de los servicios sociales de atención social básica para el período comprendido entre el 1 de enero hasta el 31 de diciembre de 2020","Sanidad y Políticas Sociales","SEPAD","","La financiación de la presente prórroga para el año 2020 asciende a la cantidad de Ciento Sesenta y Siete Mil Ochocientos Veinticinco Euros con Veinte Céntimos (167.825,20 ?), para lo cual la Consejería de Sanidad y Servicios Sociales aportará la cantidad de Ciento Sesenta y Seis Mil Ciento Cuarenta y Seis Euros con Noventa y Cinco Céntimos (166.146,95 ?), correspondiente al 99% de la financiación de la misma, y los Ayuntamientos la cantidad de Mil Seiscientos Setenta y Ocho Euros con Veinticinco Céntimos (1.678,25 ?), correspondiente a la diferencia hasta alcanzar el 100% de la financiación de la misma, conforme al presupuesto que se detalla en el anexo I de la presente prórroga y en la parte proporcional que le corresponda a cada uno de ellos conforme al anexo II de la presente prórroga La aportación económica de la Consejería de Sanidad y Servicios Sociales para la financiación de la prórroga, se realizará con cargo a los Presupuestos Generales de la Comunidad Autónoma de Extremadura para el año 2020 aplicación presupuestaria 11.03.252B.460.00, superproyecto de gasto 2016.11.03.9001 ?Servicios Sociales? y código de proyecto de gasto 2016.11.003.0001.00 ?Servicios Sociales de Atención Social Básica?. La aportación económica de los Ayuntamientos para la financiación de la prórroga, se financiará con cargo a sus Presupuestos municipales para el año 2020.","166146.9500","1678.2500","","2020-01-01","2020-12-31","1","","2019-12-20","Mérida","2020-03-05",""
"20190268","Entidades privadas españolas o extranjeras","","ADENDA PRORROGA FUNDACIÓN ARTEMISAN RECUP TÓRTOLA","Que, en base a la cláusula Segunda- Eficacia del convenio, dada la proximidad de la fecha para la expiración del convenio, y las limitaciones para la consecución de los objetivos previstos, es necesario prorrogar la duración del mismo hasta el 26 de diciembre de 2019. En virtud de lo expuesto, ambas partes acuerdan prorrogar el convenio con el objeto de extender la duración del plazo de ejecución del mismo. Por tanto, se procede a la modificación del contenido de la cláusula segunda del convenio donde se establece la duración del mismo, que queda redactado de la siguiente forma: ?Este convenio entrará en vigor en el momento de su firma y tendrá una duración hasta el 26 de diciembre de 2019?.","Consejería de Agricultura, Desarrollo Rural, Población y Territorio","","","",".0000",".0000","","2019-12-05","2019-12-26","1","Este convenio entrará en vigor en el momento de su firma y tendrá una duración hasta el 26 de diciembre de 2019.","2019-12-05","Mérida","2020-02-05",""
"20190279","Entidades privadas españolas o extranjeras","","ADENDA UGT RESPONSABILIDAD SOCIAL EMPRESARIAL","Modificar el Plan de Actuación Anexo al Convenio entre la Consejería de Educación y Empleo de la Junta de Extremadura y UGT-Extremadura por el que se concede una subvención para el año 2019, para la difusión de la estrategia de responsabilidad social empresarial de Extremadura 2018-2020, firmado el 7 de mayo de 2019 (DOE núm. 125, de 1 de julio), en los términos y con las variaciones introducidas en el Plan que se incluye como Anexo a la presente Adenda. Las modificaciones introducidas, a efectos de justificación de las cantidades percibidas, se aplicarán al periodo de ejecución del convenio conforme a lo establecido en la cláusula séptima.","Educación y Empleo","","","",".0000",".0000","","2019-05-07","2019-12-31","2","","2019-11-07","Mérida","2019-12-02",""
"20200005","Entidades Públicas, españolas o extranjeras","","SES Y FUNDESALUD ENSAYOS CLÍNICOS FARMACIA HOSPITA","El objeto de la presente Adenda es realizar una prórroga del Convenio de Colaboración suscrito el 16 de abril de 2019 para continuar la ejecución del proyecto de gestión de ensayos clínicos y prescripción electrónica asistida en el Servicio de Farmacia Hospitalaria del Hospital Universitario de Badajoz que viene desarrollando la Dra. Raquel Medina Comas, farmacéutica del Servicio de Farmacia Hospitalaria del Complejo Hospitalario Universitario de Badajoz (CHUB) y que esencialmente tiene como finalidad la intensificación del 100% de la jornada para poder llevar a cabo el desarrollo de los estudios objeto del convenio inicial.","Sanidad y Políticas Sociales","SES","","",".0000","46747.8600","Las partes establecen expresamente que serán de aplicación a esta Adenda todos los compromisos de las mismas regulados en el Convenio de 16 de abril de 2019 en todos sus extremos","2020-02-16","2020-12-31","1","La presente Adenda producirá efectos desde el día 16 de febrero de 2020 al 31 de diciembre de 2020","2020-02-05","Mérida","2020-03-18",""
"20190394","Corporaciones Locales","","ADEN DIPUTAC BADAJOZ Y LLERENA CENTR CIENCI EXPERI","Prorrogar la vigencia del convenio de colaboración suscrito el 17 de abril de 2019, entre la Consejería de Educación y Empleo de la Junta de Extremadura, la Diputación Provincial de Badajoz y el Ayuntamiento de Llerena referente al centro ?Experimenta? de dicha localidad, hasta el 31 de diciembre de 2020.","Educación y Empleo","","","",".0000",".0000","","2020-01-01","2020-12-31","1","Prorrogar la vigencia del convenio de colaboración suscrito el 17 de abril de 2019, entre la Consejería de Educación y Empleo de la Junta de Extremadura, la Diputación Provincial de Badajoz y el Ayuntamiento de Llerena referente al centro ?Experimenta? de dicha localidad, hasta el 31 de diciembre de 2020.","2019-12-27","Mérida","2020-02-07",""
"20190473","Entidades Públicas, españolas o extranjeras","","ADENDA MODIF COL CAMINOS ROTURA BALSA VALVERDE VER","Modificar el párrafo primero de la cláusula séptima del Convenio de Encomienda de gestión por el que la Consejería para la Transición Ecológica y Sostenibilidad encomienda al Colegio de Ingenieros de Caminos, Canales y Puertos la realización del análisis y contraste de informes referentes a la rotura de la balsa de Valverde de la Vera (Cáceres), que queda con la siguiente redacción: ?La presente encomienda tendrá vigencia hasta la fecha de entrega del informe, que no podrá ser superior al día 15 de noviembre de 2019. No obstante, si el desarrollo de las actividades lo requiere, podrá ser ampliado por acuerdo expreso de las partes?.","Consejería de Transición Ecológica y Sostenibilidad","","","",".0000",".0000","","2019-10-04","2019-11-15","1","La presente encomienda tendrá vigencia hasta la fecha de entrega del informe, que no podrá ser superior al día 15 de noviembre de 2019. No obstante, si el desarrollo de las actividades lo requiere, podrá ser ampliado por acuerdo expreso de las partes","2019-10-01","Mérida","2019-12-03",""
"20200006","Entidades privadas españolas o extranjeras","","ADENDA CAIXA EMPRENDEDOR XXI PREMIO EMPRENDEDOR"," Que el convenio tenía una vigencia de un año pudiendo ser renovado anualmente previo acuerdo expreso de las partes. Que es voluntad de las partes continuar colaborando en la organización de la próxima edición de los Premios EmprendedorXXI para el año 2019, de acuerdo a las bases adjuntas al presente acuerdo, renovando la vigencia del citado convenio para dicha edición, sin perjuicio de que se pueda prorrogar de nuevo de mutuo acuerdo por las partes. Que es voluntad de las partes renovar el presente convenio.","Consejería de Economía, Ciencia y Agenda digital","","","",".0000",".0000","","2020-02-20","2021-02-20","1"," Que es voluntad de las partes continuar colaborando en la organización de la próxima edición de los Premios EmprendedorXXI para el año 2019, de acuerdo a las bases adjuntas al presente acuerdo, renovando la vigencia del citado convenio para dicha edición, sin perjuicio de que se pueda prorrogar de nuevo de mutuo acuerdo por las partes. QUe es voluntad de las partes renovar el presente convenio.","2020-01-16","Mérida","2020-03-17",""
