Provincia,Tipo recurso,CIF,exp_fecapertura,Nombre establecimiento,Municipio,C. Postal,Web
Badajoz,Mayorista - Minorista,B07012107,09/06/2010,B THE TRAVEL BRAND,BADAJOZ,6001,Si
Badajoz,Mayorista - Minorista,B07012107,15/05/2013,B THE TRAVEL BRAND,BADAJOZ,6011,Si
Badajoz,Mayorista - Minorista,B07012107,09/06/2010,B TRAVEL,MERIDA,6800,No
Badajoz,Mayorista - Minorista,B10572154,07/08/2013,BADATRAVEL,BADAJOZ,6002,Si
Badajoz,Mayorista - Minorista,052962827Z,26/01/2022,EL BOSCO TRAVEL,CABEZA DEL BUEY,6600,Si
Badajoz,Mayorista - Minorista,008857315S,19/07/2018,EXTREMASENSACION,BADAJOZ,6001,Si
Badajoz,Mayorista - Minorista,044778427A,13/05/2021,FIORDOS NORUEGOS,ALMENDRALEJO,6200,Si
Badajoz,Mayorista - Minorista,A48028179,23/05/2018,HALCON VIAJES,JEREZ DE LOS CABALLEROS,6380,No
Badajoz,Mayorista - Minorista,A48028179,24/11/2010,HALCON VIAJES,OLIVA DE LA FRONTERA,6120,Si
Badajoz,Mayorista - Minorista,E44754422,04/04/2023,MUNDDES,BADAJOZ,6010,Si
Badajoz,Mayorista - Minorista,B86049137,15/04/2011,NAUTALIA VIAJES,MERIDA,6800,No
Badajoz,Mayorista - Minorista,B86049137,15/03/2011,NAUTALIA VIAJES,DON BENITO,6400,Si
Badajoz,Mayorista - Minorista,B42814780,11/05/2022,TURENEX,MERIDA,6800,Si
Badajoz,Mayorista - Minorista,051769697D,08/08/2019,UDESTINATIONS UNIQUE & TAILORED TRAVEL EXPERIENCES,MERIDA,6800,Si
Badajoz,Mayorista - Minorista,B06313472,09/06/2010,VIAJES ANSA TOURS,MERIDA,6800,Si
Badajoz,Mayorista - Minorista,B82911207,09/06/2010,VIAJES CARREFOUR,BADAJOZ,6001,Si
Badajoz,Mayorista - Minorista,A28229813,09/06/2010,VIAJES EL CORTE INGLES,BADAJOZ,6001,No
Badajoz,Mayorista - Minorista,A28229813,09/06/2010,VIAJES EL CORTE INGLES,BADAJOZ,6001,No
Badajoz,Mayorista - Minorista,A28229813,09/06/2010,VIAJES EL CORTE INGLES,DON BENITO,6400,Si
Badajoz,Mayorista - Minorista,A28229813,05/12/2012,VIAJES EL CORTE INGLES,BADAJOZ,6006,No
Badajoz,Mayorista - Minorista,026505283Z,21/12/2023,VIAJES EL MUNDO,SANTA MARTA,6150,Si
Badajoz,Mayorista - Minorista,B06017339,09/06/2010,VIAJES GALAN TOURS,BADAJOZ,6001,Si
Badajoz,Mayorista - Minorista,B06017339,09/06/2010,VIAJES GALAN TOURS,MERIDA,6800,Si
Badajoz,Mayorista - Minorista,B06017339,09/06/2010,VIAJES GALAN TOURS,MERIDA,6800,Si
Badajoz,Mayorista - Minorista,B06017339,09/06/2010,VIAJES GALAN TOURS,JEREZ DE LOS CABALLEROS,6380,No
Badajoz,Mayorista - Minorista,A10005510,09/06/2010,VIAJES HALCON,MERIDA,6800,No
Badajoz,Mayorista - Minorista,A10005510,09/06/2010,VIAJES HALCON,VILLANUEVA DE LA SERENA,6700,No
Badajoz,Mayorista - Minorista,A10005510,09/06/2010,VIAJES HALCON,DON BENITO,6400,No
Badajoz,Mayorista - Minorista,A10005510,09/06/2010,VIAJES HALCON,ALMENDRALEJO,6200,No
Badajoz,Mayorista - Minorista,076261117V,06/11/2023,VIAJES MON,DON ALVARO,6820,Si
Badajoz,Mayorista - Minorista,B06340129,09/06/2010,VIAJES OCIOTUR LLERENA,LLERENA,6900,Si
Badajoz,Mayorista - Minorista,A41391194,09/06/2010,VIAJES TRIANA,SANTA MARTA,6150,Si
Badajoz,Mayorista - Minorista,B13818547,05/07/2023,WORK TRAVEL,BADAJOZ,6011,No
Badajoz,Mayorista - Minorista,E06203863,02/07/2014,YIMI,CALAMONTE,6810,No
Badajoz,Mayorista - Minorista,A03357340,09/06/2010,ZAFIRO TOURS,BADAJOZ,6001,Si
Badajoz,Mayorista - Minorista,A03357340,01/09/2014,ZAFIRO TOURS,DON BENITO,6400,Si
Badajoz,Mayorista - Minorista,076014837K,31/03/2014,ZONAVIAJE,BADAJOZ,6001,Si
