Provincia,CIF,exp_fecapertura,Nombre establecimiento,Municipio,C. Postal,Web,Unidades de Alojamiento,Nº Habitaciones,Nº Plazas
Badajoz,008895517Z,03/08/2022,ALBERGUE ALANGE,ALANGE,6840,No,1,6,48
Badajoz,P0612700E,18/06/2021,ALBERGUE MUNICIPAL EL HOSPITAL,TALARRUBIAS,6640,Si,1,3,16
Badajoz,B06575062,10/01/2018,ALBERGUE TURÍSTICO CORNALVO,TRUJILLANOS,6892,Si,4,10,40
Badajoz,076253304R,11/12/2017,CAMPILLO ILUSIÓN,CAMPILLO DE LLERENA,6443,Si,11,66,52
Badajoz,044789776J,26/04/2011,CONVENTO DE SAN FRANCISCO,ZAFRA,6300,Si,5,15,15
Badajoz,B91003475,09/06/2010,CORTIJO LOS COTOS,MONESTERIO,6260,Si,22,0,116
Badajoz,B06740039,10/08/2021,CRUCEROS ALQUEVA,CHELES,6105,No,3,6,23
Badajoz,009150695F,10/05/2019,EL CARRASCALEJO,CARRASCALEJO (EL),6894,No,3,6,24
Badajoz,051199299B,13/11/2012,ESTACIÓN DE TREN,CAMPANARIO,6460,Si,5,15,20
Badajoz,044783008F,03/09/2013,EXTRENATURA ALOJAMIENTO,VILLAFRANCA DE LOS BARROS,6220,Si,2,3,10
Badajoz,P0606400J,28/02/2019,HIGUERA SERENA,HIGUERA DE LA SERENA,6441,No,1,18,92
Badajoz,B06351720,05/12/2012,ISLA DEL ZUJAR,CASTUERA,6420,Si,12,78,62
Badajoz,009184846A,27/02/2020,LA ALMAZARA,VILLAFRANCA DE LOS BARROS,6220,Si,8,36,30
Badajoz,E06657548,11/06/2015,LAS CABALLERAS,VILLAFRANCA DE LOS BARROS,6220,No,1,1,12
Badajoz,080255684J,16/11/2017,LAS QUINIENTAS,BERLANGA,6930,No,6,21,32
Badajoz,P0612300D,14/03/2022,LA VEGA DEL MADROÑAL,SAN VICENTE DE ALCANTARA,6500,No,6,21,35
Badajoz,P0608600C,10/09/2019,MIRAMOLIN,MONTEMOLIN,6291,Si,4,10,18
Badajoz,B06622278,15/02/2013,PALACETE DE SANTIAGO,BARCARROTA,6160,Si,7,28,44
Badajoz,009160594Q,24/10/2011,ROJO PLATA,TORREMEJIA,6210,Si,1,1,18
Badajoz,003875397N,20/12/2019,SAN ANDRES,ALJUCEN,6894,No,1,4,10
Badajoz,B10369460,02/02/2018,SAN MATIAS,CASTILBLANCO,6680,No,10,55,54
Badajoz,B06939045,28/07/2008,ZARZA CAPILLA,ZARZA-CAPILLA,6611,Si,15,0,40
Cáceres,009199750A,01/10/2021,ALAGÓN NATURA,VALDEOBISPO,10672,No,10,55,48
Cáceres,P1011200A,13/08/2019,ALBERGUE MUNICIPAL DE LOGROSÁN,LOGROSAN,10120,No,5,15,34
Cáceres,028953535P,02/02/2016,ALBERGUE TURISTICO CASAR DE CACERES,CASAR DE CACERES,10190,No,1,6,17
Cáceres,B10361236,10/09/2014,ALBERGUE TURISTICO DE GALISTEO,GALISTEO,10691,Si,1,1,8
Cáceres,B10326122,29/08/2007,ALBERJERTE,TORNO (EL),10617,No,11,172,52
Cáceres,B10335735,09/06/2010,AURORA BOREAL,CASAS DEL MONTE,10730,Si,13,88,39
Cáceres,051654685C,19/09/2014,CABAÑAS EN LOS ARBOLES DE EXTREMADURA,VILLASBUENAS DE GATA,10858,Si,3,6,10
Cáceres,028951539J,17/05/2005, EL BURACO,SANTIAGO DE ALCANTARA,10510,No,3,6,52
Cáceres,B05463773,18/01/2023,EL CIELO DE LA VERA,VILLANUEVA DE LA VERA,10470,No,3,6,19
Cáceres,P1001800J,02/07/2009,EL PERICUTO,ALISEDA,10550,Si,6,21,28
Cáceres,B10345049,13/10/2009,EL SOLITARIO,BAÑOS DE MONTEMAYOR,10750,No,11,66,51
Cáceres,009206741W,08/10/2014,HOSTEL CAÑAVERAL,CAÑAVERAL,10820,Si,4,10,24
Cáceres,B13664701,12/12/2019,HOSTEL CASA VARGAS & FIGUEROA,CACERES,10003,No,5,15,26
Cáceres,B10344174,26/04/2019,HOSTEL DIVINO MORALES,ARROYO DE LA LUZ,10900,No,13,91,50
Cáceres,B98284227,14/05/2020,HOSTEL EL ENCUENTRO,VILLANUEVA DE LA VERA,10470,No,7,28,19
Cáceres,B84011683,02/09/2001,HOSTEL EL LAGO CÁCERES,CUACOS DE YUSTE,10430,Si,21,254,92
Cáceres,B10590149,01/09/1999,LA ALDEA DE YUSTE,CUACOS DE YUSTE,10430,Si,52,0,190
Cáceres,076033367J,26/07/2010,LA ALEGRIA,PESCUEZA,10882,Si,1,1,16
Cáceres,B10363802,03/05/2013,LA CASA DE MI ABUELA,ALDEANUEVA DEL CAMINO,10740,Si,5,15,26
Cáceres,P1012100B,09/06/2021,LA FONTANINA,MATA DE ALCANTARA,10970,No,1,4,16
Cáceres,076042328G,08/02/2007,LA HIGUERA,GARROVILLAS DE ALCONÉTAR,10940,No,8,36,24
Cáceres,Y3171819H,07/07/2015,LA JARILLA,PLASENZUELA,10271,Si,10,71,29
Cáceres,028573437P,17/11/2021,LAS CABAÑAS DE VILLANUEVA DE LA VERA,VILLANUEVA DE LA VERA,10470,No,8,36,56
Cáceres,E09886813,29/04/2003,LAS VELETAS,CACERES,10003,No,12,207,42
Cáceres,B10365096,13/02/2012,LOS TRES PICOS DE LA VERA,ALDEANUEVA DE LA VERA,10440,Si,7,21,53
Cáceres,E10445161,09/06/2010,QUINTO PINO,TALAYUELA,10310,Si,6,0,48
Cáceres,003836968Q,19/01/2005,SAN BLAS,OLIVA DE PLASENCIA,10667,No,4,10,15
Cáceres,U10464980,14/02/2012,SANTA ANA,PLASENCIA,10600,No,7,28,40
Cáceres,011763571Z,24/08/2011,SEÑORA  ELENA,CARCABOSO,10670,Si,5,15,12
Cáceres,B10159929,03/10/2001,VALLE DEL AMBROZ,HERVAS,10700,No,10,55,84
Cáceres,008105055Q,25/03/2003,VÍA DE LA PLATA,BAÑOS DE MONTEMAYOR,10750,No,3,0,12
Cáceres,076127491K,05/06/2018,VÍA DE LA PLATA,HERVAS,10700,No,5,15,20
Cáceres,V10241644,16/11/2017,VÍA DE LA PLATA DE SAN GIL,PLASENCIA,10600,No,1,7,33
Cáceres,E10386357,12/06/2018,VIA DE LA PLATA - EMBALSE DE ALCÁNTARA,GARROVILLAS DE ALCONÉTAR,10940,Si,5,15,25
