"Nregistro","Ambito","Provincia","Fregistro","Nombre","Domicilio","Dlocalidad","CodPostal","fines"
1,"Provincial","Badajoz",12/12/77,"FEDERACION PROVINCIAL DE ASOC FAMILIARES","AV GRAL VARELA 2","BADAJOZ",," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Autonómico","Badajoz",04/09/00,"ASOC. JUVENIL MINERVA DE MANCHITA","C/ Arriba, 2","MANCHITA","06478"," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Local","Cáceres",09/07/65,"CABEZAS DE FAMILIA","BRAULIO NAVA, 14","HERVÁS","10700"," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Provincial","Cáceres",25/03/81,"FEDERACION CATOLICA DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE CACERES","SAN PEDRO DE ALCANTARA 9","CÁCERES",," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
2,"Local","Badajoz",02/10/65,"CENTRO DE INICIATIVAS TURÍSTICAS DE LLERENA","C/ Prolongación Ollerías, s/n","LLERENA","06900"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Provincial","Badajoz",04/04/78,"FEDERACION DE ASOCIACIONES PROTECTORAS DE SUBNORMALES DE BADAJOZ","Avda. Sta. Marina, 5, A","DESCARGAMARIA","10866"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Local","Cáceres",08/07/65,"CABEZAS DE FAMILIA","PLAZA DE ESPAÑA, 1","VALENCIA DE ALCÁNTARA","10500"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Provincial","Cáceres",21/12/83,"FED. DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA  ""COCEMFE-CACERES""","Pierre de Coubertain 5,","CÁCERES",," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
3,"Local","Badajoz",08/01/66,"Centro de Instrucción y Recreo","Plaza de España nº3","VILLAFRANCA DE LOS BARROS","06220"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Provincial","Badajoz",19/07/01,"ASOC. PEÑA CULTURAL TAURINA ""EL MORRILLO""","C/ CRUZ, 12","CABEZA DEL BUEY","06600"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Local","Cáceres",25/10/65,"CIRCULO DE ARTISTAS DE GARROVILLAS","C/ Ramón y Cajal, 80","GARROVILLAS","10940"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Provincial","Cáceres",27/11/65,"CIRCULO CULTURAL JUAN VAZQUEZ DE MELLA","PIZARRO, 11","CÁCERES",," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
