Número,Provincia,Localidad,Dirección de la instalación,Ubicación,HUSO,Modo de carga,Potencia,Titular,Longitud,Latitud
1,BADAJOZ,Acedera,"CTRA-N 430, KM 131",PRVE ACUEDUCTO GRAN RUTA,30,3,150.0,"WENEA SERVICES SPAIN, S.L.",-5.57602472598872,39.07729639213839
2,BADAJOZ,Albuera (La),"AVENIDA DE EXTREMADURA, 46",,29,3,7.2,"WENEA SERVICES SPAIN, S.L.",-0.8247763159292801,38.71714685032981
3,BADAJOZ,Almendralejo,"Hotel Acosta Vetonia, Ctra. N-630 km 647",Estación de recarga rápida Easycharger Almendralejo,29,4,50.0,Grupo Easycharger SL,-0.4003568963945086,38.70980552936615
4,BADAJOZ,Almendralejo,"Hotel Acosta Vetonia, Ctra. N-630 km 647",Estación de recarga rápida Easycharger Almendralejo,29,4,50.0,Grupo Easycharger SL,-0.4003568963945086,38.70980552936615
5,BADAJOZ,Almendralejo,"Hotel Acosta Vetonia, Ctra. N-630 km 647",Estación de recarga rápida Easycharger Almendralejo,29,3,22.0,Grupo Easycharger SL,-0.4003568963945086,38.70980552936615
6,BADAJOZ,Almendralejo,"CALLE VISTAHERMOSA,40",Centro comercial,29,3,3.68,"MERCADONA,S.A",-0.4024522094562696,38.67966609135298
7,BADAJOZ,Almendralejo,"CALLE VISTAHERMOSA,40",Centro comercial,29,3,3.68,"MERCADONA,S.A",-0.4024522094562696,38.67966609135298
8,BADAJOZ,Badajoz,Plaza de San José S/N,Vía pública,29,3,7.4,Excmo. Ayto de Badajoz,-0.9691321970958124,38.88207140526507
9,BADAJOZ,Badajoz,"C/ GOMEZ DE SOLIS, Nº 1",Hotel,29,3,7.0,INVERSIONES NARON 2003 S.L.,-0.9781653095172292,38.877816211277725
10,BADAJOZ,Badajoz,"C/ GOMEZ DE SOLIS, Nº 1",Hotel,29,3,7.0,INVERSIONES NARON 2003 S.L.,-0.9781653095172292,38.877816211277725
11,BADAJOZ,Badajoz,PLAZA CONQUISTADORES Nº 1,C.C.EL CORTE INGLES PLAZA CONQUISTADORES,29,2,3.6,"EL CORTE INGLES, S.A.",-0.9742589068479705,38.87464172061734
12,BADAJOZ,Badajoz,Avenida de Elvas S/N. Universidad de Extremadura,Instalación en recinto de la Universidad de Extremadura,29,3,7.4,Excmo. Ayto de Badajoz,-1.0028473258638,38.88352072221837
13,BADAJOZ,Badajoz,"C/ Manuel Saavedra Martínez, 28",Vía pública,29,3,7.4,Excmo. Ayto de Badajoz,-0.9907039860306815,38.88530154171664
14,BADAJOZ,Badajoz,Avda. de Elvas s/n,Parking Exterior Centro Comercial EL FARO,29,2,3.7,C. P. DEL COMPLEJO INMOBILIARIO EL FARO,-1.0218547305221213,38.885211252004666
15,BADAJOZ,Badajoz,AVDA. DE ELVAS S/N,C.C. EL CORTE INGLES EL FARO BADAJOZ,29,2,3.6,"EL CORTE INGLES, S.A.",-1.0218970131895837,38.88410260979319
