NOMBRE,OTRO NOMBRE,TITULAR,RIO,CUENCA,MUNICIPIO,PROVINCIA,SUPERFICIE EMBALSE (ha),CAPACIDAD (hm3),COTA (m),USO,COORDENADAS,TIPO DE PRESA,ALTURA DESDE CIMIENTOS (m),CATEGORÍA (riesgo potencial)
AGUA DE CECLAVÍN,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO DE LA DEHESA,TAJO,CECLAVÍN,CÁCERES,8.34,0.304,279.0,Abastecimiento,"176946,68 / 4418864,02",Gravedad,15.2,C
"AGUIJÓN, EL",ALCARRACHE,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ALCARRACHE,GUADIANA,"BARCARROTA, JEREZ DE LOS CABALLEROS",BADAJOZ,155.57,11.16,382.0,Abastecimiento,"157918,52 / 4265641,32",Gravedad,33.5,A
ALCUÉSCAR,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,AYUELA,TAJO,ALCUÉSCAR,CÁCERES,54.53,2.821,442.5,Abastecimiento,"220692,13 / 4346224,08",Gravedad (Recrecido),18.4,A
ALDEA DEL CANO,NOGALES,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO SANTIAGO,TAJO,ALDEA DEL CANO,CÁCERES,97.94,3.587,388.84,Abastecimiento,"215033,33 / 4351464,28",Materiales sueltos. Lámina PVC,13.0,A
LOS ALIJONES,MADROÑERA,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO AGUIJAL,TAJO,MADROÑERA,CÁCERES,13.45,0.87,705.5,Abastecimiento,"267812,02 / 4370991,51",Gravedad,22.0,C
ALISEDA,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,RIVERA DEL PUEBLO DE ALISEDA,TAJO,ALISEDA,CÁCERES,7.26,0.459,348.6,Abastecimiento,"182497,09 / 4369337,00",Materiales sueltos. Escollera con pantalla de hormigón,24.5,A
ALPOTREL,VALENCIA DE ALCÁNTARA,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO ALPOTREL,TAJO,VALENCIA DE ALCÁNTARA,CÁCERES,38.21,2.116,500.0,Abastecimiento,"137522,42 / 4366488,15",Materiales sueltos con núcleo de arcilla,26.5,A
"ÁNGELES, LOS ",PINOFRANQUEADO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,LOS ÁNGELES,TAJO,PINOFRANQUEADO,CÁCERES,10.86,0.592,540.5,Abastecimiento,"208936,98 / 4464958,88",Gravedad hormigón,21.5,A
ARROCEREZAL ,NUÑOMORAL II,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO CEREZAL,TAJO,NUÑOMORAL,CÁCERES,3.18,0.194,555.65,Abastecimiento,"223037,80 / 4476219,67",Gravedad. Hormigón,21.86,A
ARROYO CONEJO,LLERENA,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO CONEJO,GUADIANA,"BERLANGA, HIGUERA DE LLERENA",BADAJOZ,159.62,9.535,542.75,Abastecimiento,"245375,35 / 4244645,07",Gravedad,23.0,A
CALZADILLA ,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO LAS PEDRERAS,TAJO,CALZADILLA,CÁCERES,3.74,0.07,364.54,--,"198915,74 / 4442769,25",Materiales sueltos núcleo arcilla,9.3,C
CANTALGALLO,JARAICEJO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO DE LA VID,TAJO,JARAICEJO,CÁCERES,10.62,0.509,491.0,Abastecimiento,"260877,53 / 4396547,12",Gravedad. Hormigón,24.65,C
CARRASCALEJO,-,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO RECUERDA,TAJO,CARRASCALEJO,CÁCERES,16.62,0.768,582.6,Abastecimiento,"311999,45 / 4390878,65",Materiales sueltos núcleo arcilla,18.19,A
CHARCA DE PATOS,BROZAS II ,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO DE LOS PATOS,TAJO,BROZAS,CÁCERES,28.91,0.86,395.0,Abastecimiento,"180589,06 / 4392041,45",Gravedad. Hormigón,12.4,B
CHARCO DEL TORO,BURGUILLOS DEL CERRO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO RIVERA DE LOS MONTES,GUADIANA,BURGUILLOS DEL CERRO,BADAJOZ,42.0,2.515,467.5,Abastecimiento,"185275,75 / 4256367,37",Hormigón compactado,24.0,A
CHARCO PARAÍSO,ACEHUCHE,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO DE LA GARGANTA,TAJO,ACEHUCHE,CÁCERES,8.52,0.168,304.0,Abastecimiento,"194089,58 / 4412217,53",Gravedad. Hormigón,13.5,C
