"NUMERO REGISTRO","CARACTER","DENOMINACION","CIF","FORMA CONSTITUCIÓN","ADAPTADA LEY 50/2002","TRANSFERIDA ESTADO","AMBITO","FECHA INSCRIPCIÓN","NACIONALIDAD","LOCALIDAD","PROVINCIA","COD. POSTAL","FINES"
"87N","Privada","FUNDACIÓN ABDÓN GARCÍA LUIS ALONSO","G10454825","Mortis Causa","Si","No","Provincial","16/01/2015","Española","Plasencia","CÁCERES","10600","ASISTENCIAL"
"79N","Sector Público","FUNDACIÓN ACADEMIA EUROPEA E IBEROAMERICANA DE YUSTE","G80325780","Intervivos","Si","No","Comunidad Autónoma","03/03/2011","Española","Cuacos de Yuste","CÁCERES","10430","CULTURAL"
"06/0131","Privada","FUNDACIÓN ADATEX","G06591960","Intervivos","Si","No","Comunidad Autónoma","10/01/2011","Española","Don Benito","BADAJOZ","06400","ASISTENCIAL"
"06/0130","Privada","FUNDACIÓN AFINEX","G06587661","Intervivos","Si","No","Comunidad Autónoma","17/09/2010","Española","Badajoz","BADAJOZ","06010","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"100001-000","Privada","FUNDACIÓN AGREGACIÓN DE FUNDACIONES BENEFICO-PARTICULARES DE LA PROVINCIA DE CÁCERES","G10159507","Intervivos","No","Si","Provincial","20/04/1964","Española","Merida","BADAJOZ","06800","ASISTENCIAL"
"06/0051","Privada","FUNDACIÓN AGREGACIÓN DE FUNDACIONES DE LA PROVINCIA DE BADAJOZ",,"Intervivos","No","Si","Provincial","23/12/1965","Española","Merida","BADAJOZ","06800","ASISTENCIAL"
"10/0032","Privada","FUNDACIÓN AGUSTÍN VALLE MARTÍN. COLEGIO NUESTRA SEÑORA DE LA ASUNCIÓN",,"Mortis Causa","No","Si","Local","12/10/1915","Española","Torrejoncillo","CÁCERES","10830","BENEFICA-ASISTENCIAL"
"06/0077","Privada","FUNDACIÓN ALBEAR","G06303648","Intervivos","Si","No","Comunidad Autónoma","29/03/1999","Española","Olivenza","BADAJOZ","06100","CULTURAL"
"06/0108","Privada","FUNDACIÓN ALFONSO GALLARDO","G06507644","Intervivos","Si","No","Comunidad Autónoma","14/05/2007","Española","Jerez de los Caballero","BADAJOZ","06380","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"FDCC-16","Privada","FUNDACIÓN ANTONIO TORRES CASTELLANO",,"Mortis Causa","No","Si","Local","13/11/1958","Española","Brozas","CÁCERES","10600","DOCENTE"
"06/0078","Privada","FUNDACIÓN ARCÁNGEL SAN MIGUEL DE ZAFRA","G06302939","Intervivos","Si","No","Local","11/05/1999","Española","Zafra","BADAJOZ","06300","CULTURAL"
"10/0027","Privada","FUNDACIÓN ARGIMIRO PLAZA AGUILAR","G10036432","Mortis Causa","Si","Si","Local","15/01/1963","Española","Pozuelo de Zarzon","CÁCERES","10813","DOCENTE"
"FDCC-11","Privada","FUNDACIÓN ASENSIO NEILA",,"Mortis Causa","No","Si","Local","23/10/1916","Española","Hervas","CÁCERES","10700","BENÉFICO-DOCENTE"
"100031-000","Privada","FUNDACIÓN ASILO DE SAN JOSÉ Y SANTA MARGARITA","G1000062H","Mortis Causa","Si","Si","Local","28/02/1909","Española","Trujillo","CÁCERES","10200","ASISTENCIAL"
"06/0026","Privada","FUNDACIÓN ASILO HOSPITAL NTRA. SÑRA DEL CARMEN",,"Mortis Causa","No","Si","Local","23/05/1913","Española","Haba (La)","BADAJOZ","06714","ASISTENCIAL"
"100028-000","Privada","FUNDACIÓN ASILO SAN JOSE",,"Mortis Causa","Si","Si","Local","19/10/1928","Española","Torrejoncillo","CÁCERES","10830","ASISTENCIAL"
"82N","Privada","FUNDACIÓN ASPACE CÁCERES","G10442523","Intervivos","Si","No","Comunidad Autónoma","19/12/2013","Española","Cáceres","CÁCERES","10005","ASISTENCIAL"
"06/0155","Privada","FUNDACIÓN ATABAL PARA LA COOPERACIÓN AL DESARROLLO","G06481758","Intervivos","No","No","Comunidad Autónoma","13/10/2022","Española","Badajoz","BADAJOZ","06002","COOPERACIÓN PARA EL DESARROLLO"
"95N","Privada","FUNDACIÓN ATRIO CÁCERES","G10836096","Intervivos","Si","No","Comunidad Autónoma","12/07/2022","Española","Cáceres","CÁCERES","10003","CULTURAL"
"63N","Privada","FUNDACIÓN AVANCE Y PROGRESO","G10322196","Intervivos","Si","No","Comunidad Autónoma","19/10/2004","Española","Cáceres","CÁCERES","10003","COOPERACIÓN PARA EL DESARROLLO"
"06/0092","Privada","FUNDACIÓN BADAJOZ SPORT","G06371660","Intervivos","No","No","Comunidad Autónoma","25/09/2002","Española","Badajoz","BADAJOZ","06009","DEPORTIVA"
"06/0091","Privada","FUNDACIÓN BANCO DE ALIMENTOS DE BADAJOZ","G06382022","Intervivos","Si","No","Provincial","09/07/2002","Española","Badajoz","BADAJOZ","06006","ASISTENCIAL"
"10/0037","Privada","FUNDACIÓN BENÉFICA CECILIO PÉREZ Y JUANA RODRIGO",,"Mortis Causa","Si","Si","Local","16/12/1964","Española","Villamiel","CÁCERES","10893","BENEFICA-ASISTENCIAL"
"10/0045","Privada","FUNDACIÓN BENÉFICA OJALVO MONFORTE","G10041242","Mortis Causa","Si","Si","Local","25/03/1988","Española","Talayuela","CÁCERES","10310","ASISTENCIAL"
