Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
EXT-945,"AJOS TIERRA DE BARROS, SOCIEDAD COOPERATIVA",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,01/02/2012
EXT-1093,AVÍCOLA DE ACEUCHAL S. COOP. ESPECIAL,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,15/03/2016
EXT-204,"COOPERATIVA EXTREMEÑA DE AJOS ""ACEUCHAL"", S. COOP.",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,19/09/2003
EXT-1055,"FISKELLES, S. COOP. ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,11/11/2014
EXT-948,"LOS CLAROS, S. COOP. ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,07/03/2012
EXT-1190,"PAJARITOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,17/10/2018
EXT-455,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO SAN ISIDRO DE ACEUCHAL,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,19/08/1983
EXT-061,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LA SOLEDAD,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,27/12/1976
EXT-935,ASISTENCIA A MAYORES EN AHILLONES AMA SOCIEDAD COOPERATIVA,BADAJOZ,AHILLONES,6940,Sociedades Cooperativas de Trabajo Asociado,06/11/2003
EXT-577,S. COOP. AGRICULTORES Y GANADEROS DE AHILLONES,BADAJOZ,AHILLONES,6940,Sociedades Cooperativas Agroalimentarias,21/09/2001
EXT-925,"CENTRO DE DIA ALANGE, S. COOP. ESPECIAL",BADAJOZ,ALANGE,6840,Sociedades Cooperativas de Trabajo Asociado,28/07/2011
EXT-1205,"PORHORNILLOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,16/04/2019
23227,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CAMINO,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,01/12/1977
EXT-334,SOCIEDAD COOPERATIVA OLIVARERA DE LA ALBUERA,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,27/03/2000
EXT-561,TIERRAS LLANAS DE LA ALBUERA S. COOP. LTDA.,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,16/09/2002
EXT-1165,"ALVISA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,04/04/2018
EXT-1284,"MATFER, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,20/05/2022
EXT-1083,"RIVERSTONE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,23/10/2015
EXT-020,"SAN JOAQUIN DE ALBURQUERQUE, SOCIEDAD COOPERATIVA",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas Agroalimentarias,01/09/1982
EXT-741,"SERALBU, S. COOP. ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,07/04/2008
BA-074,SOCIEDAD COOPERATIVA LIMITADA DE TRABAJO ASOCIADO EL CASTILLO DE ALBURQUERQUE,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,09/06/1981
EXT-671,SOCIEDAD COOPERATIVA SIERRA DE SAN PEDRO,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas Agroalimentarias,01/03/2002
EXT-1152,VIVIENDAS ALBURQUERQUE SOCIEDAD COOPERATIVA,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Viviendas,29/09/2017
BA-155,"CONSTRUCCIONES ALCONCHEL, S. COOP. LTDA.",BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,01/06/1983
EXT-1198,"INKEPTA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,23/01/2019
