Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-BA-00066,Badajoz,07/06/2019,07/06/2019,ASOCIACION CULTURAL VSENTIDOS CATAS,ACEUCHAL,6207,No
OA-BA-00012,Badajoz,05/09/2012,05/09/2012,CABALBURR,ACEUCHAL,6207,Si
OA-BA-00001,Badajoz,23/08/2012,23/08/2012,"CENTRO DE ACTIVIDADES NAUTICAS Y DE AVENTURA ""LA JARILLA""",ALANGE,6840,Si
OA-BA-00029,Badajoz,12/11/2013,12/11/2013,TURISMO RURAL LOS CANTOS,ALBURQUERQUE,6510,No
OA-BA-00018,Badajoz,10/10/2012,10/10/2012,NATURACCIÓN ALJUCÉN,ALJUCEN,6894,Si
OA-BA-00054,Badajoz,24/11/2017,24/11/2017,AVENTURA EXTREMA,ALMENDRALEJO,6200,Si
OA-BA-00046,Badajoz,13/09/2016,13/09/2016,CATA CON CATI,ALMENDRALEJO,6200,Si
OA-BA-00030,Badajoz,13/11/2013,13/11/2013,ESCUELA PARAPENTE AEROFLY,BADAJOZ,6011,Si
OA-BA-00088,Badajoz,20/05/2021,20/05/2021,GEO2,BADAJOZ,6006,No
OA-BA-00081,Badajoz,23/09/2020,23/09/2020,HEART OF THE CITY TOURS,BADAJOZ,6001,No
OA-BA-00069,Badajoz,24/07/2019,24/07/2019,NATURKAYAK BADAJOZ,BADAJOZ,6008,No
OA-BA-00083,Badajoz,05/11/2020,05/11/2020,PASSAROLA,BADAJOZ,6001,No
OA-BA-00042,Badajoz,02/09/2015,02/09/2015,"PEPE ALBA ""EL JAMÓN HECHO ARTE""",BADAJOZ,6011,No
OA-BA-00070,Badajoz,19/09/2019,19/09/2019,PRUDENCIO BERROCAL MARTINEZ,BADAJOZ,6001,No
OA-BA-00045,Badajoz,16/06/2016,16/06/2016,RUTAS ORGANIZADAS EN MOTO,BADAJOZ,6005,Si
OA-BA-00080,Badajoz,27/08/2020,27/08/2020,VIAJES TRAVELTURE,BADAJOZ,6011,No
OA-BA-00020,Badajoz,15/01/2013,15/01/2013,ALCOR EXTREMADURA,BARCARROTA,6160,No
OA-BA-00028,Badajoz,24/09/2013,24/09/2013,BARCARROTA AVENTURA,BARCARROTA,6160,No
OA-BA-00108,Badajoz,27/11/2023,27/11/2023,XTREME ADVENTUTE,BARCARROTA,6160,No
OA-BA-00023,Badajoz,18/04/2013,18/04/2013,"ATUTIPLAN, EVENTOS, TURISMO Y AVENTURA",CABEZA DEL BUEY,6600,Si
OA-BA-00058,Badajoz,25/05/2018,25/05/2018,EVENTUREX SERVICIOS TURISTICOS,CALERA DE LEON,6292,No
OA-BA-00100,Badajoz,07/03/2023,07/03/2023,XPREDATOR LODGE,CASAS DE DON PEDRO,6770,No
