Nombre del Polígono,Localidad,Provincia,Latitud,Longitud,Disponibilidad de suelo
Plataforma Logistica del Suroeste Europeo,BADAJOZ,Badajoz,38.91507952,-7.00515482,SI
ExpacioNavalmoral,NAVALMORAL DE LA MATA,Cáceres,39.91461111,-5.51888889,SI
ExpacioMérida,MÉRIDA,Badajoz,38.83588889,-6.36272222,SI
PI Alagón,ALAGON,Cáceres,39.976,-6.31902778,NO
Las Picadas,ALMENDRALEJO,Badajoz,38.69455556,-6.41166667,SI
Las Picadas II,ALMENDRALEJO,Badajoz,38.69152778,-6.41544444,SI
PI Almoharín,ALMOHARIN,Cáceres,39.16863889,-6.03969444,NO
PI Azuaga,AZUAGA,Badajoz,38.258,-5.6945,SI
PI Berlanga,BERLANGA,Badajoz,38.27677778,-5.82352778,NO
PI Burguillos,BURGUILLOS DEL CERRO,Badajoz,38.37272222,-6.58938889,NO
PI Cabeza del Buey,CABEZA DEL BUEY,Badajoz,38.71555556,-5.23647222,NO
Cerro Redondo,CAMPANARIO,Badajoz,38.87411111,-5.62802778,NO
PI Casatejada,CASATEJADA,Cáceres,39.89830556,-5.69527778,SI
La Serena,CASTUERA,Badajoz,38.73177778,-5.54028611,NO
Frexnense,FREGENAL DE LA SIERRA,Badajoz,38.167,-6.63141111,SI
PI Gargáligas,GARGALIGAS,Badajoz,39.05491667,-5.64472222,SI
La Alberca,GUAREÑA ,Badajoz,38.85702778,-6.08758333,NO
La Alberca II,GUAREÑA ,Badajoz,38.85702778,-6.08758333,NO
PI Hernan Cortes,HERNAN CORTES,Badajoz,39.02866667,-5.92777778,NO
Los Monteros,HERRERA DEL DUQUE,Badajoz,39.16947222,-5.06558333,SI
Las Cañadas,HERVAS,Cáceres,40.28186111,-5.88083333,SI
PI Hornachos,HORNACHOS,Badajoz,38.54838889,-6.06775,NO
El Chaparral,LA ALBUERA,Badajoz,38.69473056,-6.79691667,NO
P.I. La Roca,LA ROCA DE LA SIERRA,Badajoz,39.1065,-6.69177778,NO
PI Llerena,LLERENA,Badajoz,38.24319444,-6.01102778,NO
La Nava,LOS SANTOS DE MAIMONA,Badajoz,38.44763889,-6.36661111,NO
Las Arenas,MALPARTIDA DE CACERES,Cáceres,39.44969444,-6.48639722,NO
Las Pozas,MALPARTIDA PLASENCIA,Cáceres,39.9755,-6.06819444,SI
1º Mayo 1,MIAJADAS,Cáceres,39.14085833,-5.92112778,NO
1º Mayo 2,MIAJADAS,Cáceres,39.14085833,-5.92112778,NO
1º Mayo 3,MIAJADAS,Cáceres,39.14822789,-5.918752,SI
PI Monterrubio,MONTERRUBIO DE LA SERENA,Badajoz,38.6060172,-5.43942099,SI
PI Navalvillar de Pela I,NAVALVILLAR DE PELA,Badajoz,39.10422222,-5.46761111,NO
PI Navalvillar de Pela II,NAVALVILLAR DE PELA,Badajoz,39.10422222,-5.46761111,NO
PI Navalvillar de Pela III,NAVALVILLAR DE PELA,Badajoz,39.10422222,-5.46761111,NO
Ramapallas I,OLIVENZA,Badajoz,38.69344444,-7.08855556,NO
Ramapallas II,OLIVENZA,Badajoz,38.69538889,-7.08830556,SI
PI Orellana,ORELLANA LA VIEJA,Badajoz,39.00288889,-5.54430556,NO
PI Plasencia,PLASENCIA,Cáceres,39.99813889,-6.11813889,NO
PI Puebla de la Calzada,PUEBLA DE LA CALZADA,Badajoz,38.88780556,-6.63338889,NO
PI Segura de Leon,SEGURA DE LEON,Badajoz,38.11625,-6.51986111,SI
PI Talarubias,TALARRUBIAS,Badajoz,39.03713889,-5.24372222,NO
PI Talarubias II,TALARRUBIAS,Badajoz,39.03713889,-5.24372222,SI
Arroyo Caballo I,TRUJILLO,Cáceres,39.46729699,-5.8638776,SI
Arroyo Caballo II,TRUJILLO,Cáceres,39.48513889,-5.85705556,SI
PI Valdelacalzada,VALDELACALZADA,Badajoz,38.88833333,-6.7095,SI
PI Valverde de Leganés,VALVERDE DE LEGANES,Badajoz,38.68033333,-6.983,SI
Los Varales I,VILLAFRANCA DE LOS BARROS,Badajoz,38.56336111,-6.35369444,NO
Los Varales II,VILLAFRANCA DE LOS BARROS,Badajoz,38.56238889,-6.35894444,NO
Los Varales III,VILLAFRANCA DE LOS BARROS,Badajoz,38.55783333,-6.36013889,SI
Montepozuelo,VILLANUEVA DE LA SERENA,Badajoz,38.94477778,-5.72372222,SI
PI Vivares,VIVARES,Badajoz,39.08738889,-5.89255556,NO
PI Zorita,ZORITA,Cáceres,39.27405556,-5.70661111,SI
