"NOMBRE","CIUDAD","CÓDIGO POSTAL","GESTIÓN","TIPO","MODALIDAD","DENTRO DEL CAMPUS","Nº PLAZAS TOTALES","Nº PLAZAS DISCAPACIDAD","Nº HABITACIONES INDIVIDUALES","Nº HABITACIONES COMPARTIDAS","SERVICIO COMEDOR (SI/NO)","OTROS SERVICIOS"
"RESIDENCIA UNIVERSITARIA ""JUAN XXIII""","BADAJOZ","06002","PÚBLICA (JUNTA)","RESIDENCIA UNIVERSITARIA","MIXTA","NO",85,0,85,0,"SI","BIBLIOTECA, GIMNASIO, MÁQUINAS EXPENDEDORAS CAFÉ Y REFRESCOS, PRENSA DIARIA Y REVISTAS,"
"RESIDENCIA UNIVERSITARIA  ""HERNÁN CORTÉS""","BADAJOZ","06011","PÚBLICA (DIPUTACIÓN)","RESIDENCIA UNIVERSITARIA","MIXTA","NO",148,0,0,74,"SI","BIBLIOTECA, GIMNASIO, SALA USOS MÚLTIPLES, CABINAS MUSICALES, SALA TV Y SALA DE JUEGOS"
"RESIDENCIA UNIVERSITARIA MUNICIPAL ""JULIO CIENFUEGOS""","BADAJOZ","06001","PRIVADA","APARTAMENTOS","MIXTA","NO",60,8,13,39,"NO","AULA AUDIOVISUAL (televisión, vídeo, dvd y playstation) "
"RESIDENCIA UNIVERSITARIA DE CAJA BADAJOZ","BADAJOZ","06006","PRIVADA","RESIDENCIA UNIVERSITARIA","MIXTA","NO",205,1,132,36,"SI","PISCINA, PISTA POLIDEPORTIVA(de tenis, baloncesto, fútbol, vóley-playa ) GIMNASIO,APARCAMIENTO PRIVADO, SERVICIO MÉDICO"
"RESIDENCIA UNIVERSITARIA ""SANTA EULALIA""","BADAJOZ","06006","PRIVADA","RESIDENCIA UNIVERSITARIA","MIXTA","NO",48,0,10,19,"SI","PISCINA, INSTALACIONES DEPORTIVAS (tenis y fútbol)"
"RESIDENCIA CORAZONISTAS","BADAJOZ","06001","PRIVADA","RESIDENCIA UNIVERSITARIA","FEMENINA","NO",20,0,20,0,"SI","BIBIOTECA, CAPILLA, GIMNASIO"
"RESIDENCIA UNIVERSITARIA FEMENINA ""SANTA MARÍA DE GUADALUPE""","BADAJOZ","06006","PRIVADA","RESIDENCIA UNIVERSITARIA","FEMENINA","NO",8,0,8,0,"SI","BIBIOTECA, CAPILLA, ENCUENTROS UNIVERSITARIOS"
"RESIDENCIA UNIVERSITARIA VIRGEN DEL MAR","BADAJOZ","06001","PRIVADA","RESIDENCIA UNIVERSITARIA","MIXTA","NO",34,0,18,10,"SI","MÁQUINAS CAFÉ"
"RESIDENCIA UNIVERSITARIA ""MARIO ROSO DE LUNA""","CÁCERES","10004","PÚBLICA (JUNTA)","RESIDENCIA UNIVERSITARIA","MIXTA","NO",84,1,84,0,"SI","BIBLIOTECA, GIMNASIO, MÁQUINAS EXPENDEDORAS CAFÉ, BEBIDAS Y SNACKS, PISTA POLIDEPORTIVA"
"RESIDENCIA UNIVERSITARIA ""DIEGO MUÑOZ TORRERO""","CÁCERES","10005","PÚBLICA (JUNTA)","RESIDENCIA UNIVERSITARIA","MIXTA","NO",95,2,95,0,"SI","GIMNASIO, AULA DE MÚSICA, PISTAS DEPORTIVAS Y PÁDEL"
"COLEGIO MAYOR UNIVERSITARIO ""SAN JOSÉ""","CÁCERES","10004","PRIVADA","COLEGIO MAYOR","MIXTA","NO",102,0,102,0,"SI","SERVICIO LAVANDERÍA GRATUITO, BIBLIOTECA, CAPILLA, CORO UNIVERSITARIO, PISCINA, GIMNASIO, PISTAS DEPORTIVAS Y PÁDEL, EQUIPOS DEPORTIVOS"
"APARTAMENTOS CAMPUS UNIVERSITARIO","CÁCERES","10004","PRIVADA","APARTAMENTOS","MIXTA","SI",120,8,120,0,"Si",
"RESIDENCIA PENSIÓN ZURBARÁN","CÁCERES","10003","PRIVADA","RESIDENCIA UNIVERSITARIA","MIXTA","NO",12,0,12,0,"Si",
"RESIDENCIA VIRGEN DE BELÉN","CÁCERES","10001","PRIVADA","RESIDENCIA UNIVERSITARIA","FEMENINA","NO",10,0,7,2,"Si",
"RESIDENCIA DE ESTUDIANTES PUERTA DEL SUR","MÉRIDA","06800","PRIVADA","RESIDENCIA UNIVERSITARIA","MIXTA","NO",25,0,16,4,"Si","COMIDA CASERA, GIMNASIO, ZONA RECREATIVA, PRENSA Y REVISTAS"
"RESIDENCIA DEL COMPLEJO EDUCATIVO","PLASENCIA","10600","PÚBLICA (JUNTA)","RESIDENCIA UNIVERSITARIA","MIXTA","SI",44,0,44,0,"Si","BIBLIOTECA, GIMNASIO, PABELLÓN POLIDEPORTIVO Y PISTAS DEPORTIVAS"
