"NUMERO","NOMBRE","PROVINCIA","LOCALIDAD","CP","ALTA"
"007670","CERRO VERDE","BADAJOZ","ACEDERA","06730",26/11/1987
"005591","SAN ROQUE","BADAJOZ","ACEUCHAL","06207",05/10/1984
"005849","EXPLOTACION LA ROMERA","BADAJOZ","ACEUCHAL","06207",29/03/1985
"006703","LOS PIPORROS","BADAJOZ","ACEUCHAL","06207",08/05/1986
"060120","VALDEMADEROS","BADAJOZ","ACEUCHAL","06207",22/11/2005
"007058","COLLEGA","BADAJOZ","AHILLONES","06940",26/11/1986
"000739","LAS ROZAS","BADAJOZ","ALBUERA LA","06170",17/06/1982
"060079","HERMANOS LOPEZ GOMEZ","BADAJOZ","ALBUERA LA","06170",07/08/2002
"006048","HOYAS-MERCADORES","BADAJOZ","ALBURQUERQUE","06510",31/07/1985
"060146","OVINOS DE ALBURQUERQUE","BADAJOZ","ALBURQUERQUE","06510",07/11/2011
"008405","LA MORATA","BADAJOZ","ALCONCHEL","06131",18/04/1989
"001222","VIEJOS AMIGOS","BADAJOZ","ALDEA DE RETAMAL","06196",22/07/1982
"000373","OLIVA DE BARROS","BADAJOZ","ALMENDRALEJO","06200",06/05/1982
"000798","BODEGAS MARTINEZ-PAIVA (SANTIAGO APOSTOL)","BADAJOZ","ALMENDRALEJO","06200",25/06/1982
"000962","SACROIMPERIO","BADAJOZ","ALMENDRALEJO","06498",08/07/1982
"001417","SAN JOSE","BADAJOZ","ALMENDRALEJO","06200",25/08/1982
"001418","1418 SAN ANTONIO","BADAJOZ","ALMENDRALEJO","06200",25/08/1982
"003225","LOS ACEVEDOS DEL CORDEL","BADAJOZ","ALMENDRALEJO","06200",21/10/1982
"003901","SAN JUAN","BADAJOZ","ALMENDRALEJO","06200",22/11/1982
"004702","RIO ENTRIN","BADAJOZ","ALMENDRALEJO","06200",09/06/1983
"004978","VITICULTORES DE BARROS","BADAJOZ","ALMENDRALEJO","06200",10/11/1983
"006864","EL LAGAR","BADAJOZ","ALMENDRALEJO","06200",29/07/1986
"007010","SATIBA","BADAJOZ","ALMENDRALEJO","06200",27/10/1986
"007576","VIÑARROBAS (EL PERDIGON)","BADAJOZ","ALMENDRALEJO","06200",24/09/1987
"007583","PERIANES","BADAJOZ","ALMENDRALEJO","06200",24/09/1987
"007698","VINICOLA LAS MINITAS","BADAJOZ","ALMENDRALEJO","06200",15/12/1987
"008606","LA BECERRA","BADAJOZ","ALMENDRALEJO","06200",08/11/1989
"060033","CASTILLO DEL CUERNO","BADAJOZ","ALMENDRALEJO","06200",20/10/1999
"060082","HERMANOS GONZÁLEZ ORTIZ","BADAJOZ","ALMENDRALEJO","06200",28/02/2003
"060097","DON RODRIGO","BADAJOZ","ALMENDRALEJO","06200",09/10/2003
"060109","OLIVAREROS DE ALMENDRALEJO","BADAJOZ","ALMENDRALEJO","06200",03/01/2005
"060132","EL FRONTON","BADAJOZ","ALMENDRALEJO","06200",27/10/2008
"060167","FADOMA","BADAJOZ","ALMENDRALEJO","06200",11/06/2018
"060170","DIZAR","BADAJOZ","ALMENDRALEJO","06200",23/07/2019
"060172","HERMANOS ZAMORA MORAN","BADAJOZ","ALMENDRALEJO","06200",08/10/2021
"001621","SAN SERVAN","BADAJOZ","ARROYO DE SAN SERVÁN","06850",10/09/1982
"007634","LOS ALACRANES","BADAJOZ","ARROYO DE SAN SERVÁN","06800",14/10/1987
"060004","CUBILLANA DE LA HUERTA","BADAJOZ","ARROYO DE SAN SERVÁN","06850",26/02/1997
"060040","EL PERDIGON","BADAJOZ","ARROYO DE SAN SERVÁN","06850",04/04/2000
"060061","LOS TORREJONES","BADAJOZ","ARROYO DE SAN SERVÁN","06850",13/12/2000
"060068","GALLARDO ORTIZ","BADAJOZ","ARROYO DE SAN SERVÁN","06850",26/10/2001
"060114","IGLESIAS","BADAJOZ","ARROYO DE SAN SERVÁN","06850",15/04/2005
"060127","HERMANOS GALLARDO TALERO","BADAJOZ","ARROYO DE SAN SERVÁN","06850",11/01/2008
"060135","ORTIZ CABEZAS","BADAJOZ","ARROYO DE SAN SERVÁN","06850",17/05/2010
"060153","CARLAP","BADAJOZ","ARROYO DE SAN SERVÁN","06850",24/07/2012
"060154","LA COMPAÑIA","BADAJOZ","ARROYO DE SAN SERVÁN","06850",29/10/2012
"060157","MORENO ROCHA","BADAJOZ","ARROYO DE SAN SERVÁN","06850",20/06/2013
"007332","MIRAMONTES","BADAJOZ","AZUAGA","06920",29/04/1987
"007499","JOMARA","BADAJOZ","AZUAGA","06920",01/09/1987
"000830","EL VALLE","BADAJOZ","BADAJOZ","06001",05/07/1982
"004182","CALATRAVEJA","BADAJOZ","BADAJOZ","06005",14/12/1982
"003224","VEGA DE RIVILLA","BADAJOZ","BADAJOZ","06001",22/12/1982
"004353","CAMPO VERDE","BADAJOZ","BADAJOZ","06001",17/02/1983
"006319","BUENAVISTA RINCON DE CAYA","BADAJOZ","BADAJOZ","06001",19/12/1985
"006821","LAS MESAS DEL RIO","BADAJOZ","BADAJOZ","06006",11/07/1986
"006869","BALSOLANA","BADAJOZ","BADAJOZ","06004",24/07/1986
"007454","LAS CORCHAS","BADAJOZ","BADAJOZ","06005",19/06/1987
"007529","VALDEPASILLAS","BADAJOZ","BADAJOZ","06002",01/09/1987
"007645","LOS LLANOS DEL GALLO","BADAJOZ","BADAJOZ","06002",10/11/1987
"008081","BASTRANCA","BADAJOZ","BADAJOZ","06001",30/09/1988
"009187","APRIBER JJ.AA. DE BADAJOZ","BADAJOZ","BADAJOZ","06001",06/06/1992
"009252","EL MIMBRERO","BADAJOZ","BADAJOZ","06004",20/10/1992
"009751","BUENAVISTA","BADAJOZ","BADAJOZ","06003",04/05/1995
"060030","LA PEDREGOSA","BADAJOZ","BADAJOZ","06005",04/10/1999
"060096","SANI AGROGANADERA","BADAJOZ","BADAJOZ","06005",01/10/2003
"009147","LA CAPUCHA PRIMERA","BADAJOZ","BALBOA","06195",18/02/1992
"060118","AGROFEDUR","BADAJOZ","BALBOA","06195",08/07/2005
